abbr,state,seats,up,notUp,contested,notContested,lat,lng,asterisk
Ark.,Arkansas,12,4,8,1,3,34.7574,-92.5863,
Ga.,Georgia,15,3,12,0,3,32.7407,-83.5,
Idaho,Idaho,4,1,3,0,1,43.4682,-114.342,
Ill.,Illinois,54,5,49,3,2,40.2331,-89.2985,†
Ky.,Kentucky,14,14,0,4,10,37.7393,-84.27,
La.,Louisiana,51,23,28,5,18,30.9843,-92.15,
Mich.,Michigan,24,10,14,2,8,44.3148,-85.6024,
Minn.,Minnesota,19,10,9,0,10,46.0296,-94.6859,
Miss.,Mississippi,10,4,6,1,3,32.9547,-89.6985,
Nev.,Nevada,3,3,0,1,2,39.5026,-116.9194,
N.M.,New Mexico,10,3,7,3,0,34.5199,-106.0701,
N.C.,North Carolina,15,4,11,4,0,35.5596,-79.0193,
Ohio,Ohio,69,28,41,13,15,40.1173,-82.9071,
Ore.,Oregon,13,5,8,2,3,43.8041,-120.5542,
Texas,Texas,80,20,60,13,7,31.3686,-98.9018,
Wash.,Washington,22,7,15,0,7,47.3511,-120.0401,
Wis.,Wisconsin,16,3,13,1,2,44.5844,-89.8879,
OVERALL,OVERALL,431,147,284,53,94,,,
